schema_name,relation_name,column_name,required,evidence_types,source_files
public,blank_products_search,color,True,order,src/lib/inventoryApi.js
public,blank_products_search,size,True,order,src/lib/inventoryApi.js
public,blank_products_search,style,True,order,src/lib/inventoryApi.js
public,brands,code,True,select,netlify/functions/manual-pullsheet.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,brands,id,True,select,netlify/functions/manual-pullsheet.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,brands,name,True,order | select,netlify/functions/manual-pullsheet.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,color_alias_approvals,created_at,True,order,src/lib/inventoryApi.js
public,color_alias_approvals,updated_at,True,order,src/lib/inventoryApi.js
public,color_alias_review_candidates,affected_woo_products,True,order,src/lib/inventoryApi.js
public,color_alias_review_candidates,brand,True,order,src/lib/inventoryApi.js
public,color_alias_review_candidates,possible_blank_color,True,order,src/lib/inventoryApi.js
public,color_alias_review_candidates,style,True,order,src/lib/inventoryApi.js
public,color_alias_review_candidates,woo_color,True,order,src/lib/inventoryApi.js
public,colors,code,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,colors,id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,colors,name,True,order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,customers,code,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,customers,customer_key,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,customers,id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,customers,name,True,filter | insert | order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,finished_inventory_by_product,blank_product_id,True,filter,src/lib/inventoryApi.js
public,finished_inventory_by_product,finished_sku,True,order,src/lib/inventoryApi.js
public,finished_inventory_by_product,total_quantity,True,filter,src/lib/inventoryApi.js
public,finished_products,finished_sku,True,filter,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js
public,finished_products,id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js
public,inventory_activity_feed,created_at,True,order,src/lib/inventoryApi.js
public,inventory_reservations_view,created_at,True,order,src/lib/inventoryApi.js
public,inventory_reservations_view,status,True,filter,src/lib/inventoryApi.js
public,inventory_valuation_by_product,inventory_value,True,order,src/lib/inventoryApi.js
public,job_items,artwork_note,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,blank_product_id,True,insert | relationship | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,brand,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,color,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,decoration_size,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,id,True,filter | order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,inventory_required,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,item_name,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,job_id,True,filter | insert | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,logo,True,insert,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,name,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,non_inventory_marked_at,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,non_inventory_reason,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,non_inventory_rule_id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,notes,True,insert | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,order_sku,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,placement,True,insert | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,product_type,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,quantity,True,insert | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,selected_bin_id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,size,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,sku,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,job_items,status,True,insert | select | update,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,customer_name,True,insert | update,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
